*110091+0000000000000020 21...2+0000000000079841 22...2+0000000029988415 31...6+0000000001233500 51....+000000000007+175 87...6+0000000000000000 
*110092+0000000000000018 21...2+0000000000021809 22...2+0000000029967842 31...6+0000000000836064 51....+000000000007+175 87...6+0000000000000000 
*110093+0000000000000016 21...2+0000000039899673 22...2+0000000029940490 31...6+0000000000572273 51....+000000000007+175 87...6+0000000000000000 
*110094+0000000000000014 21...2+0000000037999109 22...2+0000000029603443 31...6+0000000000087752 51....+000000000007+175 87...6+0000000000000000 
*110095+0000000000000012 21...2+0000000020663157 22...2+0000000029799704 31...6+0000000000365121 51....+000000000007+175 87...6+0000000000000000 
*110096+000000000000009a 21...2+0000000020419465 22...2+0000000029891240 31...6+0000000000849427 51....+000000000007+175 87...6+0000000000000000 
*110097+000000000000009b 21...2+0000000019999864 22...2+0000000029906035 31...6+0000000000850049 51....+000000000007+175 87...6+0000000000000000 
*110098+0000000000000011 21...2+0000000019916461 22...2+0000000029878379 31...6+0000000000627852 51....+000000000007+175 87...6+0000000000000000 
*110099+0000000000000013 21...2+0000000018474782 22...2+0000000029472382 31...6+0000000000111421 51....+000000000007+175 87...6+0000000000000000 
*110100+0000000000000013 21...2+0000000038474849 22...2+0000000010527570 31...6+0000000000111421 51....+000000000007+175 87...6+0000000000000000 
